Name,BSE Code,NSE Code,ISIN Code,Industry Group
Sapphire Foods,543397,SAPPHIRE,INE806T01020,Leisure Services
Sarda Energy,504614,SARDAEN,INE385C01021,Ferrous Metals
Saregama India,532163,SAREGAMA,INE979A01025,Entertainment
SBFC Finance,543959,SBFC,INE423Y01016,Finance
SBI,500112,SBIN,INE062A01020,Banks
SBI Cards,543066,SBICARD,INE018E01016,Finance
SBI Life Insuran,540719,SBILIFE,INE123W01016,Insurance
Schaeffler India,505790,SCHAEFFLER,INE513A01022,Auto Components
Schneider Elect.,534139,SCHNEIDER,INE839M01018,Electrical Equipment
Shree Cement,500387,SHREECEM,INE070A01015,Cement & Cement Products
Shriram Finance,511218,SHRIRAMFIN,INE721A01047,Finance
Shyam Metalics,543299,SHYAMMETL,INE810G01011,Industrial Products
Siemens,500550,SIEMENS,INE003A01024,Electrical Equipment
